ID;Lat;Long;USERS_TOT;USERS_O;USERS_G;USERS_FS;USERS_MAM;primary;tree_ri;ghm;heght;psri;npp;vcf;notho_ri;biomass;BIOMA
5316;-4841167.782;-8199687.048;17.438145;7.478352;5.975835;3.651705;2.701993;2.595101;12.045836;0.154974;13.153983;-0.155925;14115.73684;74.710526;1.887611;101.220207;2
5317;-4841167.782;-8173365.567;13.970492;5.251946;4.037402;2.877366;3.071494;2.335089;13.00703;0.124873;17.937121;-0.098964;11003.3;78.525;2.460497;114.773786;2
5318;-4841167.782;-8147044.087;16.535871;6.336985;5.095811;3.519129;3.300787;2.619402;12.690667;0.174907;20.822567;-0.074948;12943.55263;76.578947;1.998166;127.006004;2
5319;-4841167.782;-8107561.867;21.619015;9.08259;8.835781;4.172887;3.555744;2.704431;9.585505;0.380009;14.376067;-0.022601;12725.025;29.025;2.141197;49.415703;2
5320;-4841167.782;-8068079.646;15.754191;6.569868;5.314255;3.608632;2.649085;2.659602;11.983401;0.223508;19.278723;-0.063845;13881.13158;72.052632;2.495797;119.106819;2
5321;-4841167.782;-8028597.426;11.817678;4.651338;3.790245;2.669918;1.987526;2.131459;11.14936;0.178176;23.339029;-0.081317;10223.43902;78.731707;2.823778;126.8872;2
5322;-4841167.782;-7989115.206;13.620358;5.49517;5.165119;2.950474;1.949211;2.416133;10.703127;0.182264;18.271036;-0.182073;8747.258065;71.631579;2.984776;117.172805;2
5323;-4841167.782;-7962793.725;14.206225;5.925822;5.999885;2.805123;2.05624;2.451438;9.874544;0.103062;10.413717;-0.331925;7011.371429;55.769231;3.23101;70.51951;2
5324;-4841167.782;-7936472.245;14.739756;6.290987;6.516297;2.784944;2.072168;2.5197;7.690476;0.233445;17.425781;-0.053889;6301.8;33.675;2.926568;47.100087;2
5332;-4833569.425;-8186526.308;18.89036;7.781373;6.209859;4.181019;2.891528;2.757321;12.662484;0.132385;15.484858;-0.08948;15861.625;74.8;1.74047;103.962302;2
5333;-4833569.425;-8160204.827;22.153514;8.998594;8.047382;4.629471;3.334658;3.198985;13.202413;0.164006;16.260334;-0.100246;13384.07895;65.710526;2.066668;96.551084;2
5334;-4833569.425;-8133883.347;15.703175;6.407445;5.204416;3.241062;2.804131;2.414847;11.575001;0.305523;22.197194;-0.069215;16257.5;70.815789;1.943841;96.42126;2
5335;-4833569.425;-8094401.127;19.426436;8.15073;7.491616;3.897505;3.116287;2.576649;9.334611;0.261396;12.025765;-0.01768;14101.2;33.675;1.987199;77.668577;2
5336;-4833569.425;-8054918.906;12.017284;4.764472;3.58519;2.896707;2.362761;2.202038;11.992092;0.201585;19.239566;-0.094493;9466.789474;79.605263;2.550026;138.753239;2
5337;-4833569.425;-8015436.686;9.317566;3.658291;3.715878;1.912253;1.246121;1.629245;8.115025;0.161839;8.020173;-0.038744;6745.932432;37.1;2.590075;83.96939;2
5338;-4833569.425;-7975954.466;9.730049;3.85656;3.588461;1.946361;1.593451;1.921663;7.828314;0.160554;17.985065;-0.063456;8341.421053;65.131579;2.669568;111.054399;2
5339;-4833569.425;-7949632.985;7.539827;3.230472;3.635965;1.264957;0.955351;1.368838;5.725646;0.140484;8.87219;-0.030349;4583.9;28.45;2.224111;60.709993;2
5349;-4825971.068;-8173365.567;20.134149;8.190239;6.992826;4.352242;3.093649;2.708946;12.961265;0.241672;16.001466;-0.423128;13151.625;67.414634;2.04;96.722623;2
5350;-4825971.068;-8147044.087;20.715876;8.315942;7.253556;4.384528;3.369687;2.894882;13.03695;0.327086;19.606732;-0.078796;13578.76316;65.263158;2.02054;104.56667;2
5351;-4825971.068;-8120722.607;16.163499;6.347642;5.137969;3.489435;3.10537;2.685508;12.629804;0.264304;17.986156;-0.092046;12866.35897;76.128205;2.242638;121.17384;2
5352;-4825971.068;-8081240.387;20.217814;8.629214;7.900378;4.124589;2.990896;2.841301;10.178818;0.263489;16.437873;-0.013403;15027.74359;36.051282;2.214202;77.446096;2
5353;-4825971.068;-8041758.166;16.164169;6.52346;5.777168;3.57825;2.577017;2.658552;12.546567;0.179723;18.881623;-0.291631;13004.07407;71.702703;2.734927;135.278339;2
